metric,required_information
1.1.1,Curricula developed and implemented relevance reflected in POs PSOs COs; supporting documents
1.3.1,Crosscutting issues relevant to Professional Ethics Gender Human Values Environment and Sustainability integrated into curriculum
2.2.1,Assessment of learning levels and special programmes for advanced and slow learners
2.3.1,Student-centric methods including experiential learning participative learning and problem-solving methodologies
2.3.2,ICT-enabled tools including online resources used for effective teaching and learning
2.3.3,Ratio of students to mentor and supporting information
2.6.1,Stated learning outcomes/graduate attributes integrated into assessment and publicized
2.6.2,Attainment of Programme Outcomes Programme Specific Outcomes and Course Outcomes evaluated
2.7.1,Student Satisfaction Survey results/details and web link
4.1.1,Adequate teaching-learning facilities including classrooms laboratories computing equipment etc.
6.5.2,Academic Administrative Audit and follow-up action taken
6.5.3,Incremental improvements in quality/quality initiatives
